@mightex_spectrum_save,2,2,0
2017-01-03 3:16:56 PM
HRS-BD1-025
08-140513-003
100
0
3648
328600
 1.16484842223230E+0003
-2.43854246430248E-0001
-4.79814220617963E-0006
 4.37608702651841E-0010
 4.54024498676284E+0003
-3.84760048454191E+0000
 8.04072645756477E-0005
-1.05108087843893E-0007
0
5
1
1
PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
20, 1.15996942154768E+0003, 3.15999999999999E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.35169738847531E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.35169728847531E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.27503008899192E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.33449145178142E+0001, 1.00000000000000E-0007, 8.94479565752436E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
21, 1.15972537112925E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
22, 1.15948131116966E+0003, 9.55999999999999E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.43472887837010E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.43472886837010E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.16911721327234E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.36725054440909E+0002, 1.00000000000000E-0007, 2.09776977761645E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
23, 1.15923724167156E+0003, 1.04400000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.46434749897606E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.19876018365952E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.42213028821110E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.17562347665758E+0002, 4.26558731531654E+0001, 1.58619573302715E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
24, 1.15899316263757E+0003, 4.12000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.06139089738523E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.06139088738523E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.50653113187142E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.22407853297301E+0001, 1.00000000000000E-0007, 6.00926896421112E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
25, 1.15874907407030E+0003, 1.24800000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.18497415798101E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.90564408916430E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.68492827254951E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.14055565898835E+0002, 1.94409749064588E+0001,-1.99246033753556E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
26, 1.15850497597239E+0003, 1.30400000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.25042024858137E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.84017001543667E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.67256155739061E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.13479607977141E+0002, 4.66403247037706E+0001, 3.27972834950408E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
27, 1.15826086834647E+0003, 8.30000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.95984395825224E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.95984394825224E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.07215319470397E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.49146407680470E+0001, 1.00000000000000E-0007,-3.02568446649341E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
28, 1.15801675119515E+0003, 1.78800000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.81543150098151E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.45410219599519E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.18714753576061E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.90958123733301E+0002, 1.47002128138199E+0002, 6.19894574610536E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
29, 1.15777262452107E+0003, 1.16800000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.09145338085349E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.09145337985349E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.21077791023845E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.18497415798101E+0002, 1.00000000000000E-0007, 3.57036888875633E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
30, 1.15752848832684E+0003, 9.38000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.22407853297301E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.42385291200187E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.92672319621952E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.38126693453303E+0002, 2.80022562097114E+0001, 3.07575798595724E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
31, 1.15728434261510E+0003, 1.16400000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.08677652691345E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.61522367417165E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76675646224819E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.04624901701013E+0002, 7.25254159496295E+0001, 5.62765954662281E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
32, 1.15704018738847E+0003, 1.28400000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.22704838762871E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.03615753727965E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.27990477687178E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.42331193750160E+0002, 1.90890850349060E+0001, 7.53333301225144E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
33, 1.15679602264958E+0003, 8.94000000000001E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.70908884556803E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.70908883556803E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.24953302235164E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.06339109178473E+0002, 1.00000000000000E-0007, 1.39689967137507E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
